date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:48	1201/-1	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202015%2023:10:47%20GMT	http://kitchen.ci/robots.txt		(from )
19:10:48	8272/8272	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:17%20GMT	http://kitchen.ci/	./kitchen.ci/index.html	(from )
19:10:49	4690/4690	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:18%20GMT	http://kitchen.ci/blog/	./kitchen.ci/blog/index.html	(from http://kitchen.ci/)
19:10:49	126098/126098	---M-Z	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202015%2023:10:47%20GMT	http://kitchen.ci/css/kitchen-26ac5aa6.css	./kitchen.ci/css/kitchen-26ac5aa6.css	(from http://kitchen.ci/)
19:10:49	8446/8446	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:17%20GMT	http://kitchen.ci/docs/getting-started/	./kitchen.ci/docs/getting-started/index.html	(from http://kitchen.ci/)
19:10:50	12058/12058	---M-Z	200	added ('OK')	image/png	date:Mon,%2017%20Aug%202015%2023:10:48%20GMT	http://kitchen.ci/img/partner/heavywater-c92770a1.png	./kitchen.ci/img/partner/heavywater-c92770a1.png	(from http://kitchen.ci/)
19:10:50	14738/14738	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2017%20Aug%202015%2023:10:48%20GMT	http://kitchen.ci/js/vendor/modernizr-2.6.2.min-76c5a590.js	./kitchen.ci/js/vendor/modernizr-2.6.2.min-76c5a590.js	(from http://kitchen.ci/)
19:10:52	24788/24788	---M-Z	200	added ('OK')	image/png	date:Mon,%2017%20Aug%202015%2023:10:48%20GMT	http://kitchen.ci/img/partner/chef-66970515.png	./kitchen.ci/img/partner/chef-66970515.png	(from http://kitchen.ci/)
19:10:53	20290/20290	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2008%20May%202015%2016:26:53%20GMT	http://kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-23799c0a.eot	./kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-23799c0a.eot	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:10:54	23292/23292	---M-Z	200	added ('OK')	application/font-woff	date:Fri,%2008%20May%202015%2016:26:53%20GMT	http://kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-c6ea7b1a.woff	./kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-c6ea7b1a.woff	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:10:56	41236/41236	---M-Z	200	added ('OK')	application/octet-stream	date:Fri,%2008%20May%202015%2016:26:53%20GMT	http://kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-536d2b1b.ttf	./kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-536d2b1b.ttf	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:10:56	148386/148386	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2017%20Aug%202015%2023:10:48%20GMT	http://kitchen.ci/js/all-126c4e27.js	./kitchen.ci/js/all-126c4e27.js	(from http://kitchen.ci/)
19:10:56	62850/62850	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2008%20May%202015%2016:26:53%20GMT	http://kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-ecee9033.svg	./kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-ecee9033.svg	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:10:58	20290/20290	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2008%20May%202015%2016:26:53%20GMT	http://kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-23799c0a.eot?	./kitchen.ci/fonts/bootstrap/glyphicons-halflings-regular-23799c0ad41d.eot	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:11:02	38205/38205	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2017%20Aug%202015%2023:10:55%20GMT	http://kitchen.ci/css/font-awesome/fonts/fontawesome-webfont-7619748f.eot?v=4.0.3	./kitchen.ci/css/font-awesome/fonts/fontawesome-webfont-7619748fba72.eot	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:11:02	38205/38205	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2017%20Aug%202015%2023:10:56%20GMT	http://kitchen.ci/css/font-awesome/fonts/fontawesome-webfont-7619748f.eot?	./kitchen.ci/css/font-awesome/fonts/fontawesome-webfont-7619748fd41d.eot	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:11:04	44432/44432	---M-Z	200	added ('OK')	application/font-woff	date:Mon,%2017%20Aug%202015%2023:10:55%20GMT	http://kitchen.ci/css/font-awesome/fonts/fontawesome-webfont-04c3bf56.woff?v=4.0.3	./kitchen.ci/css/font-awesome/fonts/fontawesome-webfont-04c3bf56ba72.woff	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:11:05	80652/80652	---M-Z	200	added ('OK')	application/octet-stream	date:Mon,%2017%20Aug%202015%2023:10:57%20GMT	http://kitchen.ci/css/font-awesome/fonts/fontawesome-webfont-7f09c97f.ttf?v=4.0.3	./kitchen.ci/css/font-awesome/fonts/fontawesome-webfont-7f09c97fba72.ttf	(from http://kitchen.ci/css/kitchen-26ac5aa6.css)
19:11:05	4280/4280	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202015%2023:11:04%20GMT	http://kitchen.ci/test-kitchen-1-4-0-release-notes	./kitchen.ci/test-kitchen-1-4-0-release-notes.10.delayed	(from http://kitchen.ci/blog/)
19:11:07	19626/19626	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:18%20GMT	http://kitchen.ci/blog/test-kitchen-windows-test-flight-with-vagrant/	./kitchen.ci/blog/test-kitchen-windows-test-flight-with-vagrant/index.html	(from http://kitchen.ci/blog/)
19:11:07	92626/92626	---M-Z	200	added ('OK')	application/xml	date:Fri,%2008%20May%202015%2016:27:18%20GMT	http://kitchen.ci/blog/feed.xml	./kitchen.ci/blog/feed.xml	(from http://kitchen.ci/blog/)
19:11:08	8717/8717	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:17%20GMT	http://kitchen.ci/docs/getting-started/installing	./kitchen.ci/docs/getting-started/installing.html	(from http://kitchen.ci/docs/getting-started/)
19:11:09	46526/46526	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:18%20GMT	http://kitchen.ci/blog/test-kitchen-1-4-0-release-notes/	./kitchen.ci/blog/test-kitchen-1-4-0-release-notes/index.html	(from http://kitchen.ci/blog/)
19:11:09	8215/8215	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:17%20GMT	http://kitchen.ci/docs/getting-started/getting-help	./kitchen.ci/docs/getting-started/getting-help.html	(from http://kitchen.ci/docs/getting-started/)
19:11:09	4846/4846	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:18%20GMT	http://kitchen.ci/blog/test-kitchen-1-3-1-release-notes/	./kitchen.ci/blog/test-kitchen-1-3-1-release-notes/index.html	(from http://kitchen.ci/blog/)
19:11:10	18053/18053	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:17%20GMT	http://kitchen.ci/docs/getting-started/creating-cookbook	./kitchen.ci/docs/getting-started/creating-cookbook.html	(from http://kitchen.ci/docs/getting-started/)
19:11:10	5783/5783	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20May%202015%2016:27:17%20GMT	http://kitchen.ci/docs/getting-started/writing-recipe	./kitchen.ci/docs/getting-started/writing-recipe.html	(from http://kitchen.ci/docs/getting-started/)
